real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
gen=3_member=312_pso,42433.30938799555588,42433.30938799555588,80284.047391287618666,80284.047391287618666,61577.431170592026319,61577.431170592026319,54876.393323090815102,54876.393323090815102,42433.30938799555588,42433.30938799555588,80284.047391287618666,80284.047391287618666,61577.431170592026319,61577.431170592026319,54876.393323090815102,54876.393323090815102,81550.677420159379835,81550.677420159379835,490016.57273490307853,490016.57273490307853,206424.24603793639108,206424.24603793639108,54876.393323090815102,54876.393323090815102
gen=3_member=313_pso,42195.649091873026919,42195.649091873026919,68728.757634029636392,68728.757634029636392,62475.577886821396532,62475.577886821396532,62475.577886821396532,62475.577886821396532,42195.649091873026919,42195.649091873026919,68728.757634029636392,68728.757634029636392,62475.577886821396532,62475.577886821396532,62475.577886821396532,62475.577886821396532,42195.649091873026919,42195.649091873026919,381825.32620799192227,381825.32620799192227,233501.07210304337787,233501.07210304337787,62475.577886821396532,62475.577886821396532
gen=3_member=314_pso,48689.279978183898493,48689.279978183898493,55202.46012680621061,55202.46012680621061,45058.395791390561499,45058.395791390561499,42186.196048853824323,42186.196048853824323,48689.279978183898493,48689.279978183898493,55202.46012680621061,55202.46012680621061,45058.395791390561499,45058.395791390561499,42186.196048853824323,42186.196048853824323,48689.279978183898493,48689.279978183898493,343789.79120383842383,343789.79120383842383,45058.395791390561499,45058.395791390561499,42186.196048853824323,42186.196048853824323
gen=3_member=315_pso,41503.750383075974241,41503.750383075974241,64154.345168787906005,64154.345168787906005,48894.281159032456344,48894.281159032456344,51492.55789537968667,51492.55789537968667,41503.750383075974241,41503.750383075974241,64154.345168787906005,64154.345168787906005,48894.281159032456344,48894.281159032456344,51492.55789537968667,51492.55789537968667,308816.23849865607917,308816.23849865607917,264318.17385072959587,264318.17385072959587,48894.281159032456344,48894.281159032456344,51492.55789537968667,51492.55789537968667
gen=3_member=316_pso,22800.291022847017302,22800.291022847017302,30813.156417980284459,30813.156417980284459,51817.120679405335977,51817.120679405335977,44503.004444756443263,44503.004444756443263,22800.291022847017302,22800.291022847017302,30813.156417980284459,30813.156417980284459,51817.120679405335977,51817.120679405335977,44503.004444756443263,44503.004444756443263,104100.42374802730046,104100.42374802730046,30813.156417980284459,30813.156417980284459,186597.2310624801321,186597.2310624801321,44503.004444756443263,44503.004444756443263
gen=3_member=317_pso,50663.251667383461609,50663.251667383461609,75970.069704004359664,75970.069704004359664,75970.069704004359664,75970.069704004359664,75002.195015737597714,75002.195015737597714,50663.251667383461609,50663.251667383461609,75970.069704004359664,75970.069704004359664,75970.069704004359664,75970.069704004359664,75002.195015737597714,75002.195015737597714,226309.36620502267033,226309.36620502267033,291556.78387715353165,291556.78387715353165,218706.30211517945281,218706.30211517945281,75002.195015737597714,75002.195015737597714
gen=3_member=318_pso,44687.932632002441096,44687.932632002441096,57376.554896502086194,57376.554896502086194,64127.554146376889548,64127.554146376889548,64127.554146376889548,64127.554146376889548,44687.932632002441096,44687.932632002441096,57376.554896502086194,57376.554896502086194,64127.554146376889548,64127.554146376889548,64127.554146376889548,64127.554146376889548,77241.444000678660814,77241.444000678660814,57376.554896502086194,57376.554896502086194,64127.554146376889548,64127.554146376889548,64127.554146376889548,64127.554146376889548
gen=3_member=319_pso,24544.446077601307479,24544.446077601307479,45585.63918685461249,45585.63918685461249,50000,50000,59539.499325004995626,59539.499325004995626,24544.446077601307479,24544.446077601307479,45585.63918685461249,45585.63918685461249,50000,50000,59539.499325004995626,59539.499325004995626,120670.4227079145785,120670.4227079145785,568115.79801864910405,568115.79801864910405,62340.54090846751933,62340.54090846751933,59539.499325004995626,59539.499325004995626
gen=3_member=320_pso,54955.801392467205005,54955.801392467205005,55147.614998138022202,55147.614998138022202,55147.614998138022202,55147.614998138022202,55147.614998138022202,55147.614998138022202,54955.801392467205005,54955.801392467205005,55147.614998138022202,55147.614998138022202,55147.614998138022202,55147.614998138022202,55147.614998138022202,55147.614998138022202,54955.801392467205005,54955.801392467205005,55147.614998138022202,55147.614998138022202,197447.97783228725893,197447.97783228725893,55147.614998138022202,55147.614998138022202
gen=3_member=321_pso,30478.045797071732522,30478.045797071732522,47956.541046702535823,47956.541046702535823,50000,50000,50000,50000,30478.045797071732522,30478.045797071732522,47956.541046702535823,47956.541046702535823,50000,50000,50000,50000,30478.045797071732522,30478.045797071732522,84337.281729105132399,84337.281729105132399,50000,50000,50000,50000
gen=3_member=322_pso,55997.02668727611308,55997.02668727611308,56165.58504878423264,56165.58504878423264,56090.653833146461693,56090.653833146461693,51688.087727085679944,51688.087727085679944,55997.02668727611308,55997.02668727611308,56165.58504878423264,56165.58504878423264,56090.653833146461693,56090.653833146461693,51688.087727085679944,51688.087727085679944,55997.02668727611308,55997.02668727611308,87403.402263620984741,87403.402263620984741,158995.1866588522098,158995.1866588522098,51688.087727085679944,51688.087727085679944
gen=3_member=323_pso,64732.038954199771979,64732.038954199771979,73965.887863664596807,73965.887863664596807,71223.136916926479898,71223.136916926479898,74882.657761647948064,74882.657761647948064,64732.038954199771979,64732.038954199771979,73965.887863664596807,73965.887863664596807,71223.136916926479898,71223.136916926479898,74882.657761647948064,74882.657761647948064,64732.038954199771979,64732.038954199771979,348183.71991550334496,348183.71991550334496,505890.29833925591083,505890.29833925591083,74882.657761647948064,74882.657761647948064
gen=3_member=324_pso,44943.017178732348839,44943.017178732348839,55502.965185237306287,55502.965185237306287,52606.929599363953457,52606.929599363953457,52606.929599363953457,52606.929599363953457,44943.017178732348839,44943.017178732348839,55502.965185237306287,55502.965185237306287,52606.929599363953457,52606.929599363953457,52606.929599363953457,52606.929599363953457,44943.017178732348839,44943.017178732348839,408686.98324898979627,408686.98324898979627,236127.16836609155871,236127.16836609155871,52606.929599363953457,52606.929599363953457
gen=3_member=325_pso,42914.095675330310769,42914.095675330310769,67679.182167328661308,67679.182167328661308,58676.39052521433041,58676.39052521433041,60951.579576181502489,60951.579576181502489,42914.095675330310769,42914.095675330310769,67679.182167328661308,67679.182167328661308,58676.39052521433041,58676.39052521433041,60951.579576181502489,60951.579576181502489,122025.0303176905436,122025.0303176905436,67679.182167328661308,67679.182167328661308,236873.06981062458362,236873.06981062458362,60951.579576181502489,60951.579576181502489
gen=3_member=326_pso,27598.392176538789499,27598.392176538789499,58876.241444688974298,58876.241444688974298,50678.608572358716629,50678.608572358716629,55169.7132531034149,55169.7132531034149,27598.392176538789499,27598.392176538789499,58876.241444688974298,58876.241444688974298,50678.608572358716629,50678.608572358716629,55169.7132531034149,55169.7132531034149,196469.93910389550729,196469.93910389550729,228277.4515170819941,228277.4515170819941,303010.39786335680401,303010.39786335680401,55169.7132531034149,55169.7132531034149
gen=3_member=327_pso,61175.477134049484448,61175.477134049484448,65644.55765560711734,65644.55765560711734,65644.55765560711734,65644.55765560711734,51565.007038852156256,51565.007038852156256,61175.477134049484448,61175.477134049484448,65644.55765560711734,65644.55765560711734,65644.55765560711734,65644.55765560711734,51565.007038852156256,51565.007038852156256,61175.477134049484448,61175.477134049484448,243056.12158705774345,243056.12158705774345,65644.55765560711734,65644.55765560711734,51565.007038852156256,51565.007038852156256
gen=3_member=328_pso,23448.72906774841249,23448.72906774841249,61106.212001753461664,61106.212001753461664,50000,50000,33501.735649903355807,33501.735649903355807,23448.72906774841249,23448.72906774841249,61106.212001753461664,61106.212001753461664,50000,50000,33501.735649903355807,33501.735649903355807,23448.72906774841249,23448.72906774841249,286425.16310266917571,286425.16310266917571,50000,50000,33501.735649903355807,33501.735649903355807
gen=3_member=329_pso,40312.279605171577714,40312.279605171577714,76620.55420800439606,76620.55420800439606,50039.112736181683431,50039.112736181683431,43856.844844994724554,43856.844844994724554,40312.279605171577714,40312.279605171577714,76620.55420800439606,76620.55420800439606,50039.112736181683431,50039.112736181683431,43856.844844994724554,43856.844844994724554,48182.278512912198494,48182.278512912198494,504130.34272085345583,504130.34272085345583,213715.6936874469975,213715.6936874469975,43856.844844994724554,43856.844844994724554
gen=3_member=330_pso,34438.508318855929247,34438.508318855929247,57066.760898198954237,57066.760898198954237,50000,50000,50000,50000,34438.508318855929247,34438.508318855929247,57066.760898198954237,57066.760898198954237,50000,50000,50000,50000,34438.508318855929247,34438.508318855929247,348350.11257455986924,348350.11257455986924,186891.09578507312108,186891.09578507312108,50000,50000
gen=3_member=331_pso,67843.005052787979366,67843.005052787979366,94156.388901739235735,94156.388901739235735,67843.005052787979366,67843.005052787979366,73508.478795193062979,73508.478795193062979,67843.005052787979366,67843.005052787979366,94156.388901739235735,94156.388901739235735,67843.005052787979366,67843.005052787979366,73508.478795193062979,73508.478795193062979,67843.005052787979366,67843.005052787979366,290617.34716419759206,290617.34716419759206,67843.005052787979366,67843.005052787979366,73508.478795193062979,73508.478795193062979
gen=3_member=332_pso,40441.954090993560385,40441.954090993560385,42405.202095210450352,42405.202095210450352,46463.446952569036512,46463.446952569036512,68327.89018798910547,68327.89018798910547,40441.954090993560385,40441.954090993560385,42405.202095210450352,42405.202095210450352,46463.446952569036512,46463.446952569036512,68327.89018798910547,68327.89018798910547,40441.954090993560385,40441.954090993560385,42405.202095210450352,42405.202095210450352,46463.446952569036512,46463.446952569036512,68327.89018798910547,68327.89018798910547
gen=3_member=333_pso,47746.48099750833353,47746.48099750833353,67244.055596924212296,67244.055596924212296,54591.341555979757686,54591.341555979757686,54542.429681681634975,54542.429681681634975,47746.48099750833353,47746.48099750833353,67244.055596924212296,67244.055596924212296,54591.341555979757686,54591.341555979757686,54542.429681681634975,54542.429681681634975,219069.08181530013098,219069.08181530013098,67244.055596924212296,67244.055596924212296,203154.97425133438082,203154.97425133438082,54542.429681681634975,54542.429681681634975
gen=3_member=334_pso,43388.332305033436569,43388.332305033436569,61085.006429066357668,61085.006429066357668,53793.47729090818757,53793.47729090818757,68679.745600762966205,68679.745600762966205,43388.332305033436569,43388.332305033436569,61085.006429066357668,61085.006429066357668,53793.47729090818757,53793.47729090818757,68679.745600762966205,68679.745600762966205,43388.332305033436569,43388.332305033436569,430311.23590605560457,430311.23590605560457,53793.47729090818757,53793.47729090818757,68679.745600762966205,68679.745600762966205
gen=3_member=335_pso,46591.134043341968209,46591.134043341968209,71690.648080364844645,71690.648080364844645,71690.648080364844645,71690.648080364844645,80440.408028684643796,80440.408028684643796,46591.134043341968209,46591.134043341968209,71690.648080364844645,71690.648080364844645,71690.648080364844645,71690.648080364844645,80440.408028684643796,80440.408028684643796,46591.134043341968209,46591.134043341968209,455227.96767671575071,455227.96767671575071,91070.513900231555454,91070.513900231555454,203543.63815206038998,203543.63815206038998
gen=3_member=336_pso,69202.621637731324881,69202.621637731324881,84183.147725786431693,84183.147725786431693,84183.147725786431693,84183.147725786431693,88933.249139127787203,88933.249139127787203,69202.621637731324881,69202.621637731324881,84183.147725786431693,84183.147725786431693,84183.147725786431693,84183.147725786431693,88933.249139127787203,88933.249139127787203,261918.69199756887974,261918.69199756887974,84183.147725786431693,84183.147725786431693,84183.147725786431693,84183.147725786431693,88933.249139127787203,88933.249139127787203
gen=3_member=337_pso,24147.727357831514382,24147.727357831514382,59410.662167715359828,59410.662167715359828,59410.662167715359828,59410.662167715359828,59858.402535323111806,59858.402535323111806,24147.727357831514382,24147.727357831514382,59410.662167715359828,59410.662167715359828,59410.662167715359828,59410.662167715359828,59858.402535323111806,59858.402535323111806,24147.727357831514382,24147.727357831514382,59410.662167715359828,59410.662167715359828,364545.66388627374545,364545.66388627374545,59858.402535323111806,59858.402535323111806
gen=3_member=338_pso,32552.315342412570317,32552.315342412570317,52086.198704914844711,52086.198704914844711,46860.429837424657308,46860.429837424657308,52343.376338699723419,52343.376338699723419,32552.315342412570317,32552.315342412570317,52086.198704914844711,52086.198704914844711,46860.429837424657308,46860.429837424657308,52343.376338699723419,52343.376338699723419,32552.315342412570317,32552.315342412570317,465615.91008811740903,465615.91008811740903,155670.41706763833645,155670.41706763833645,52343.376338699723419,52343.376338699723419
gen=3_member=339_pso,32645.420450398116373,32645.420450398116373,52876.995099637439125,52876.995099637439125,50000,50000,55577.86304349826969,55577.86304349826969,32645.420450398116373,32645.420450398116373,52876.995099637439125,52876.995099637439125,50000,50000,55577.86304349826969,55577.86304349826969,372384.08490327454638,372384.08490327454638,52876.995099637439125,52876.995099637439125,108050.10587162696174,108050.10587162696174,108298.13702370424289,108298.13702370424289
gen=3_member=340_pso,11915.466700092285464,11915.466700092285464,50000,50000,50000,50000,48267.185650838495349,48267.185650838495349,11915.466700092285464,11915.466700092285464,50000,50000,50000,50000,48267.185650838495349,48267.185650838495349,238218.61754507524893,238218.61754507524893,180223.25132514786674,180223.25132514786674,312174.38331407110672,312174.38331407110672,48267.185650838495349,48267.185650838495349
gen=3_member=341_pso,34544.824982520367485,34544.824982520367485,66931.495842184012872,66931.495842184012872,50000,50000,60599.45943191031256,60599.45943191031256,34544.824982520367485,34544.824982520367485,66931.495842184012872,66931.495842184012872,50000,50000,60599.45943191031256,60599.45943191031256,107166.49331552803051,107166.49331552803051,66931.495842184012872,66931.495842184012872,50000,50000,60599.45943191031256,60599.45943191031256
gen=3_member=342_pso,44585.202308625099249,44585.202308625099249,68360.006562225069501,68360.006562225069501,66980.349539982271381,66980.349539982271381,80036.037520244193729,80036.037520244193729,44585.202308625099249,44585.202308625099249,68360.006562225069501,68360.006562225069501,66980.349539982271381,66980.349539982271381,80036.037520244193729,80036.037520244193729,44585.202308625099249,44585.202308625099249,492359.92708831827622,492359.92708831827622,407659.24369960598415,407659.24369960598415,80036.037520244193729,80036.037520244193729
gen=3_member=343_pso,71750.728769972367445,71750.728769972367445,70245.237407968161278,70245.237407968161278,71750.728769972367445,71750.728769972367445,65479.317408668444841,65479.317408668444841,71750.728769972367445,71750.728769972367445,70245.237407968161278,70245.237407968161278,71750.728769972367445,71750.728769972367445,65479.317408668444841,65479.317408668444841,422735.55413391930051,422735.55413391930051,446672.06870675308164,446672.06870675308164,237677.62490507154143,237677.62490507154143,65479.317408668444841,65479.317408668444841
gen=3_member=344_pso,37945.724478689626267,37945.724478689626267,53694.922603869781597,53694.922603869781597,62573.937007336106035,62573.937007336106035,59612.143119371306966,59612.143119371306966,37945.724478689626267,37945.724478689626267,53694.922603869781597,53694.922603869781597,62573.937007336106035,62573.937007336106035,59612.143119371306966,59612.143119371306966,37945.724478689626267,37945.724478689626267,233434.44451059689163,233434.44451059689163,467647.97327383392258,467647.97327383392258,59612.143119371306966,59612.143119371306966
gen=3_member=345_pso,43059.814879668454523,43059.814879668454523,47046.342062514202553,47046.342062514202553,50000,50000,50000,50000,43059.814879668454523,43059.814879668454523,47046.342062514202553,47046.342062514202553,50000,50000,50000,50000,106311.9943086286512,106311.9943086286512,83412.220613708588644,83412.220613708588644,95433.676354112802073,95433.676354112802073,50000,50000
gen=3_member=346_pso,24841.497997984446556,24841.497997984446556,69660.060310010419926,69660.060310010419926,47480.382584900391521,47480.382584900391521,46876.282443286021589,46876.282443286021589,24841.497997984446556,24841.497997984446556,69660.060310010419926,69660.060310010419926,47480.382584900391521,47480.382584900391521,46876.282443286021589,46876.282443286021589,24841.497997984446556,24841.497997984446556,524888.69623600319028,524888.69623600319028,331882.19735050119925,331882.19735050119925,46876.282443286021589,46876.282443286021589
gen=3_member=347_pso,40930.58877259241126,40930.58877259241126,59906.800345007497526,59906.800345007497526,50000,50000,48519.907172670667933,48519.907172670667933,40930.58877259241126,40930.58877259241126,59906.800345007497526,59906.800345007497526,50000,50000,48519.907172670667933,48519.907172670667933,40930.58877259241126,40930.58877259241126,400202.57012402225519,400202.57012402225519,202682.76307570317294,202682.76307570317294,48519.907172670667933,48519.907172670667933
gen=3_member=348_pso,21687.189038127839012,21687.189038127839012,78157.467843026286573,78157.467843026286573,62019.362153511501674,62019.362153511501674,79697.212495519575896,79697.212495519575896,21687.189038127839012,21687.189038127839012,78157.467843026286573,78157.467843026286573,62019.362153511501674,62019.362153511501674,79697.212495519575896,79697.212495519575896,121683.10666538809892,121683.10666538809892,129467.67943978529365,129467.67943978529365,87209.866787226259476,87209.866787226259476,79697.212495519575896,79697.212495519575896
gen=3_member=349_pso,44100.009989337850129,44100.009989337850129,61989.490220774772752,61989.490220774772752,55713.124968533178617,55713.124968533178617,61989.490220774772752,61989.490220774772752,44100.009989337850129,44100.009989337850129,61989.490220774772752,61989.490220774772752,55713.124968533178617,55713.124968533178617,61989.490220774772752,61989.490220774772752,44100.009989337850129,44100.009989337850129,269680.25601344479946,269680.25601344479946,136628.21631934065954,136628.21631934065954,61989.490220774772752,61989.490220774772752
gen=3_member=350_pso,36417.783905678123119,36417.783905678123119,53777.015523884503637,53777.015523884503637,50000,50000,50586.652592510676186,50586.652592510676186,36417.783905678123119,36417.783905678123119,53777.015523884503637,53777.015523884503637,50000,50000,50586.652592510676186,50586.652592510676186,225458.8715117702377,225458.8715117702377,199811.59002400681493,199811.59002400681493,371325.01387643907219,371325.01387643907219,50586.652592510676186,50586.652592510676186
gen=3_member=351_pso,0,0,50000,50000,50000,50000,53738.774906840328185,53738.774906840328185,0,0,50000,50000,50000,50000,53738.774906840328185,53738.774906840328185,67828.079453329497483,67828.079453329497483,50000,50000,50000,50000,53738.774906840328185,53738.774906840328185
gen=3_member=352_pso,37787.259122586779995,37787.259122586779995,53499.567246924110805,53499.567246924110805,53499.567246924110805,53499.567246924110805,41616.15111457889725,41616.15111457889725,37787.259122586779995,37787.259122586779995,53499.567246924110805,53499.567246924110805,53499.567246924110805,53499.567246924110805,41616.15111457889725,41616.15111457889725,226064.96114774074522,226064.96114774074522,550273.89101254229899,550273.89101254229899,305936.88711378496373,305936.88711378496373,41616.15111457889725,41616.15111457889725
gen=3_member=353_pso,40583.476299134388682,40583.476299134388682,61191.854089806962293,61191.854089806962293,50000,50000,52449.177138409839245,52449.177138409839245,40583.476299134388682,40583.476299134388682,61191.854089806962293,61191.854089806962293,50000,50000,52449.177138409839245,52449.177138409839245,206529.17398785275873,206529.17398785275873,348787.06185829627793,348787.06185829627793,50000,50000,52449.177138409839245,52449.177138409839245
gen=3_member=354_pso,24831.201897426937649,24831.201897426937649,56223.739951732415648,56223.739951732415648,53248.733715837668569,53248.733715837668569,37050.611112894424878,37050.611112894424878,24831.201897426937649,24831.201897426937649,56223.739951732415648,56223.739951732415648,53248.733715837668569,53248.733715837668569,37050.611112894424878,37050.611112894424878,24831.201897426937649,24831.201897426937649,358545.68932668893831,358545.68932668893831,155664.81932673833217,155664.81932673833217,37050.611112894424878,37050.611112894424878
gen=3_member=355_pso,67522.020374808082124,67522.020374808082124,73803.068087972074864,73803.068087972074864,81079.063147688328172,81079.063147688328172,58685.591289570402296,58685.591289570402296,67522.020374808082124,67522.020374808082124,73803.068087972074864,73803.068087972074864,81079.063147688328172,81079.063147688328172,58685.591289570402296,58685.591289570402296,283649.86056905321311,283649.86056905321311,147750.64154108718503,147750.64154108718503,81079.063147688328172,81079.063147688328172,58685.591289570402296,58685.591289570402296
gen=3_member=356_pso,63932.168270161462715,63932.168270161462715,79783.561910429009004,79783.561910429009004,63932.168270161462715,63932.168270161462715,63936.584540732728783,63936.584540732728783,63932.168270161462715,63932.168270161462715,79783.561910429009004,79783.561910429009004,63932.168270161462715,63932.168270161462715,63936.584540732728783,63936.584540732728783,63932.168270161462715,63932.168270161462715,315281.92623597884085,315281.92623597884085,239170.77476973462035,239170.77476973462035,63936.584540732728783,63936.584540732728783
gen=3_member=357_pso,7778.1424696145049893,7778.1424696145049893,69893.553290497104172,69893.553290497104172,49247.630817555036629,49247.630817555036629,50000,50000,7778.1424696145049893,7778.1424696145049893,69893.553290497104172,69893.553290497104172,49247.630817555036629,49247.630817555036629,50000,50000,150655.63777160385507,150655.63777160385507,239450.97583407559432,239450.97583407559432,195166.03944737731945,195166.03944737731945,50000,50000
gen=3_member=358_pso,5749.0858235211644569,5749.0858235211644569,80989.57904819783289,80989.57904819783289,51172.185049016654375,51172.185049016654375,51172.185049016654375,51172.185049016654375,5749.0858235211644569,5749.0858235211644569,80989.57904819783289,80989.57904819783289,51172.185049016654375,51172.185049016654375,51172.185049016654375,51172.185049016654375,412909.04725811793469,412909.04725811793469,251345.73887177370489,251345.73887177370489,225957.50311407342087,225957.50311407342087,51172.185049016654375,51172.185049016654375
gen=3_member=359_pso,52376.780023013314349,52376.780023013314349,75246.001039601236698,75246.001039601236698,83341.165889812706155,83341.165889812706155,80684.548793454072438,80684.548793454072438,52376.780023013314349,52376.780023013314349,75246.001039601236698,75246.001039601236698,83341.165889812706155,83341.165889812706155,80684.548793454072438,80684.548793454072438,268036.3170895188232,268036.3170895188232,162122.29305967217078,162122.29305967217078,451054.20635680330452,451054.20635680330452,80684.548793454072438,80684.548793454072438
gen=3_member=360_pso,34991.138366711093113,34991.138366711093113,71696.339021636842517,71696.339021636842517,54112.698406945906754,54112.698406945906754,52075.608612599782646,52075.608612599782646,34991.138366711093113,34991.138366711093113,71696.339021636842517,71696.339021636842517,54112.698406945906754,54112.698406945906754,52075.608612599782646,52075.608612599782646,34991.138366711093113,34991.138366711093113,452576.76449576311279,452576.76449576311279,177263.67360138625372,177263.67360138625372,52075.608612599782646,52075.608612599782646
gen=3_member=361_pso,39115.337903415558685,39115.337903415558685,19867.698224364929047,19867.698224364929047,50000,50000,34876.035748334594246,34876.035748334594246,39115.337903415558685,39115.337903415558685,19867.698224364929047,19867.698224364929047,50000,50000,34876.035748334594246,34876.035748334594246,39115.337903415558685,39115.337903415558685,19867.698224364929047,19867.698224364929047,174494.23888041972532,174494.23888041972532,34876.035748334594246,34876.035748334594246
gen=3_member=362_pso,43492.975541410247388,43492.975541410247388,58072.832058778592909,58072.832058778592909,53978.509719461624627,53978.509719461624627,53978.509719461624627,53978.509719461624627,43492.975541410247388,43492.975541410247388,58072.832058778592909,58072.832058778592909,53978.509719461624627,53978.509719461624627,53978.509719461624627,53978.509719461624627,84971.222447963606101,84971.222447963606101,169785.63215674294042,169785.63215674294042,368918.42860331689008,368918.42860331689008,53978.509719461624627,53978.509719461624627
