generation,member,pi_obj_func,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=24,-94132.5,28,-999,4170.35,4170,0,1.0259e+12
0,gen=0_member=25,-133697,26,-999,2535.35,2535,0,1.00081e+12
0,gen=0_member=26,-141080,64,-999,2100.54,2100,0,1.56256e+12
0,gen=0_member=27,-131268,33,-999,2739.38,2739,0,1.09909e+12
0,gen=0_member=28,-114900,81,-999,3410.63,3410,0,1.83384e+12
0,gen=0_member=29,-95466.3,75,-999,4089.58,4089,0,1.67935e+12
0,gen=0_member=30,-76492.3,23,-999,4422.31,4422,0,9.10966e+11
0,gen=0_member=31,-139677,69,-999,2175.55,2175,0,1.5902e+12
0,gen=0_member=32,-42373.5,5,-999,4830.13,4830,0,3.76333e+11
0,gen=0_member=33,-36281.5,63,-999,4872.52,4872,0,1.51124e+12
0,gen=0_member=34,-88227.2,57,-999,4320.51,4320,0,1.4675e+12
0,gen=0_member=35,-90746.3,36,-999,4284.4,4284,0,1.15143e+12
0,gen=0_member=36,-160811,41,-999,1295.42,1295,0,1.22449e+12
0,gen=0_member=37,-173534,65,-999,1209.54,1209,0,1.56533e+12
0,gen=0_member=38,15260.2,17,-999,4947.27,4947,0,7.80971e+11
0,gen=0_member=39,-99819.1,40,-999,3915.42,3915,0,1.21629e+12
0,gen=0_member=40,-104692,14,-999,3624.26,3624,0,7.59559e+11
0,gen=0_member=41,-66076.9,62,-999,4650.52,4650,0,1.50867e+12
0,gen=0_member=42,-226493,71,-999,197.568,197,0,1.64557e+12
0,gen=0_member=43,-131576,95,-999,2604.83,2604,0,2.39511e+12
0,gen=0_member=44,-82205.3,66,-999,4389.54,4389,0,1.57144e+12
0,gen=0_member=45,-102844,45,-999,3725.44,3725,0,1.2678e+12
0,gen=0_member=46,-64816.9,27,-999,4697.35,4697,0,1.01172e+12
0,gen=0_member=47,-73164.7,60,-999,4515.51,4515,0,1.48315e+12
0,gen=0_member=48,-46553.6,9,-999,4760.2,4760,0,5.77978e+11
0,gen=0_member=49,-117982,13,-999,3297.26,3297,0,7.506e+11
0,gen=0_member=50,-201549,93,-999,579.737,579,0,2.13338e+12
0,gen=0_member=51,-65733,8,-999,4674.17,4674,0,4.85769e+11
0,gen=0_member=52,38956.3,2,-999,4950.07,4950,0,2.1715e+11
0,gen=0_member=53,-158189,83,-999,1380.66,1380,0,1.91911e+12
0,gen=0_member=54,-76060.1,19,-999,4454.28,4454,0,8.11037e+11
0,gen=0_member=55,-22644.9,15,-999,4905.26,4905,0,7.60769e+11
0,gen=0_member=56,-98118.7,44,-999,3960.43,3960,0,1.25835e+12
0,gen=0_member=57,-120593,39,-999,3120.42,3120,0,1.21313e+12
0,gen=0_member=58,-41653.2,22,-999,4859.31,4859,0,8.93771e+11
0,gen=0_member=59,-148825,79,-999,1947.62,1947,0,1.78937e+12
0,gen=0_member=60,-95338,48,-999,4130.45,4130,0,1.30923e+12
0,gen=0_member=61,-17696.7,11,-999,4914.21,4914,0,6.0946e+11
0,gen=0_member=62,-45527.4,20,-999,4779.28,4779,0,8.22376e+11
0,gen=0_member=63,-43805.4,4,-999,4797.13,4797,0,3.74514e+11
0,gen=0_member=64,-58018.4,21,-999,4719.29,4719,0,8.3437e+11
0,gen=0_member=65,-188366,55,-999,945.501,945,0,1.45197e+12
0,gen=0_member=66,-152368,96,-999,1790.89,1790,0,2.58415e+12
0,gen=0_member=67,-204335,97,-999,390.925,390,0,2.67789e+12
0,gen=0_member=68,-92221.6,46,-999,4247.44,4247,0,1.27628e+12
0,gen=0_member=69,-129103,68,-999,2805.55,2805,0,1.58514e+12
0,gen=0_member=70,10160.1,37,-999,4944.4,4944,0,1.17031e+12
0,gen=0_member=71,-5271.5,0,-999,4922.05,4922,0,1.49991e+11
0,gen=0_member=72,8370.16,1,-999,4940.07,4940,0,1.88691e+11
0,gen=0_member=73,25995.1,6,-999,4949.14,4949,0,3.98355e+11
0,gen=0_member=74,-233238,84,-999,99.6669,99,0,1.93144e+12
0,gen=0_member=75,-144615,43,-999,2024.43,2024,0,1.25289e+12
0,gen=0_member=76,-190336,85,-999,855.679,855,0,1.96519e+12
0,gen=0_member=77,-198677,78,-999,672.598,672,0,1.73221e+12
0,gen=0_member=78,-119047,49,-999,3239.46,3239,0,1.34029e+12
0,gen=0_member=79,-69221.5,12,-999,4599.25,4599,0,7.14333e+11
0,gen=0_member=80,-110007,88,-999,3572.7,3572,0,2.02361e+12
0,gen=0_member=81,-202803,94,-999,485.809,485,0,2.34417e+12
0,gen=0_member=82,-34260.5,7,-999,4884.17,4884,0,4.8525e+11
0,gen=0_member=83,-219757,99,-999,295,294,0,2.89626e+12
0,gen=0_member=84,-153062,73,-999,1710.58,1710,0,1.66586e+12
0,gen=0_member=85,-114895,92,-999,3465.72,3465,0,2.09072e+12
0,gen=0_member=86,-235110,89,-999,0.69952,2.23338e-05,0,2.02593e+12
0,gen=0_member=87,-101886,87,-999,3774.7,3774,0,2.01364e+12
0,gen=0_member=88,-126451,29,-999,2870.36,2870,0,1.03507e+12
0,gen=0_member=89,6199.22,3,-999,4935.09,4935,0,2.71443e+11
0,gen=0_member=90,-157465,56,-999,1547.5,1547,0,1.4544e+12
0,gen=0_member=91,-100552,76,-999,3869.58,3869,0,1.69109e+12
0,gen=0_member=92,-139458,70,-999,2249.56,2249,0,1.63066e+12
0,gen=0_member=93,-131375,38,-999,2672.41,2672,0,1.1962e+12
0,gen=0_member=94,-97949.5,90,-999,4004.7,4004,0,2.04053e+12
0,gen=0_member=95,-101545,52,-999,3822.49,3822,0,1.41099e+12
0,gen=0_member=96,-120913,32,-999,2997.38,2997,0,1.09061e+12
0,gen=0_member=97,-103267,61,-999,3675.51,3675,0,1.48901e+12
0,gen=0_member=98,-157824,91,-999,1464.72,1464,0,2.07412e+12
0,gen=0_member=99,-43683,47,-999,4814.45,4814,0,1.29618e+12
1,gen=1_member=100_pso,-29638.6,30,-999,16819.1,16819,0,2.34159e+11
1,gen=1_member=101_pso,-23402.8,60,-999,17344.1,17344,0,4.10964e+11
1,gen=1_member=102_pso,54495.1,39,-999,19897.1,19897,0,2.75319e+11
1,gen=1_member=103_pso,-59605.6,84,-999,14229.2,14229,0,6.49956e+11
1,gen=1_member=104_pso,-91358.5,108,-999,11899.3,11899,0,8.74221e+11
1,gen=1_member=105_pso,20138.9,34,-999,19549.1,19549,0,2.57496e+11
1,gen=1_member=106_pso,-2670.83,85,-999,18625.2,18625,0,6.62377e+11
1,gen=1_member=107_pso,22905.2,6,-999,19600,19600,0,5.71085e+10
1,gen=1_member=108_pso,-72361.8,88,-999,13345.2,13345,0,6.80343e+11
1,gen=1_member=109_pso,48487.1,1,-999,19885,19885,0,1.28943e+09
1,gen=1_member=110_pso,11168.8,82,-999,19305.2,19305,0,6.23798e+11
1,gen=1_member=111_pso,-42419.3,57,-999,15529.1,15529,0,3.7833e+11
1,gen=1_member=112_pso,49732.2,107,-999,19894.3,19894,0,8.54093e+11
1,gen=1_member=113_pso,-140021,141,-999,5194.44,5194,0,1.28443e+12
1,gen=1_member=114_pso,31233.6,32,-999,19710.1,19710,0,2.41031e+11
1,gen=1_member=115_pso,-33827.6,36,-999,16414.1,16414,0,2.66428e+11
1,gen=1_member=116_pso,-16170.4,47,-999,17755.1,17755,0,3.47969e+11
1,gen=1_member=117_pso,-32074.5,86,-999,16660.2,16660,0,6.67682e+11
1,gen=1_member=118_pso,21685.6,90,-999,19575.2,19575,0,7.05851e+11
1,gen=1_member=119_pso,13141.3,48,-999,19372.1,19372,0,3.53079e+11
1,gen=1_member=120_pso,-24439.6,49,-999,17272.1,17272,0,3.57924e+11
1,gen=1_member=121_pso,-24524.8,105,-999,17199.3,17199,0,8.38142e+11
1,gen=1_member=122_pso,3365.46,56,-999,18910.1,18910,0,3.77559e+11
1,gen=1_member=123_pso,-11610.7,23,-999,18130.1,18130,0,1.96463e+11
1,gen=1_member=124_pso,-35872.6,71,-999,16159.2,16159,0,5.25518e+11
1,gen=1_member=125_pso,10197.6,65,-999,19270.2,19270,0,4.63085e+11
1,gen=1_member=126_pso,-43436,27,-999,15435.1,15435,0,2.21638e+11
1,gen=1_member=127_pso,41742.7,9,-999,19822,19822,0,8.28557e+10
1,gen=1_member=128_pso,-71459.9,73,-999,13572.2,13572,0,5.27328e+11
1,gen=1_member=129_pso,-10663.1,66,-999,18247.2,18247,0,4.84544e+11
1,gen=1_member=130_pso,-12609.8,62,-999,18009.1,18009,0,4.21947e+11
1,gen=1_member=131_pso,-46970.2,74,-999,14850.2,14850,0,5.27937e+11
1,gen=1_member=132_pso,-44.387,17,-999,18819.1,18819,0,1.49957e+11
1,gen=1_member=133_pso,14987,4,-999,19435,19435,0,3.47373e+10
1,gen=1_member=134_pso,-8168.34,16,-999,18304.1,18304,0,1.49361e+11
1,gen=1_member=135_pso,41390.4,33,-999,19809.1,19809,0,2.46378e+11
1,gen=1_member=136_pso,-21157.2,75,-999,17622.2,17622,0,5.31543e+11
1,gen=1_member=137_pso,-47961.5,45,-999,14749.1,14749,0,3.38285e+11
1,gen=1_member=138_pso,-112485,89,-999,9169.24,9169,0,6.8396e+11
1,gen=1_member=139_pso,-11069.6,80,-999,18189.2,18189,0,6.09387e+11
1,gen=1_member=140_pso,18887.7,79,-999,19522.2,19522,0,6.08122e+11
1,gen=1_member=141_pso,5121.58,31,-999,19080.1,19080,0,2.38538e+11
1,gen=1_member=142_pso,-25464.6,69,-999,17050.2,17050,0,4.90506e+11
1,gen=1_member=143_pso,-140496,145,-999,5022.47,5022,0,1.35367e+12
1,gen=1_member=144_pso,-45533.2,100,-999,15049.3,15049,0,7.92307e+11
1,gen=1_member=145_pso,55882.9,5,-999,19899,19899,0,5.58077e+10
1,gen=1_member=146_pso,48060.9,0,-999,19879,19879,0,1.24032e+08
1,gen=1_member=147_pso,14683.3,13,-999,19404,19404,0,1.26005e+11
1,gen=1_member=148_pso,-29878.8,52,-999,16740.1,16740,0,3.71097e+11
1,gen=1_member=149_pso,-22735.6,50,-999,17415.1,17415,0,3.59971e+11
1,gen=1_member=150_pso,-28957.1,41,-999,16897.1,16897,0,2.86921e+11
1,gen=1_member=151_pso,-3140.71,99,-999,18522.3,18522,0,7.92197e+11
1,gen=1_member=152_pso,11792.8,92,-999,19339.2,19339,0,7.16111e+11
1,gen=1_member=153_pso,-11726.8,22,-999,18070.1,18070,0,1.95895e+11
1,gen=1_member=154_pso,34037,12,-999,19729,19729,0,1.14525e+11
1,gen=1_member=155_pso,24449.9,59,-999,19624.1,19624,0,4.05647e+11
1,gen=1_member=156_pso,27385.7,7,-999,19690,19690,0,6.68669e+10
1,gen=1_member=157_pso,3116.28,72,-999,18865.2,18865,0,5.27133e+11
1,gen=1_member=158_pso,-16076.1,46,-999,17820.1,17820,0,3.44997e+11
1,gen=1_member=159_pso,35098.8,63,-999,19747.1,19747,0,4.31584e+11
1,gen=1_member=160_pso,44966,24,-999,19872.1,19872,0,2.0699e+11
1,gen=1_member=161_pso,-22290.1,61,-999,17554.1,17554,0,4.18301e+11
1,gen=1_member=162_pso,3818.06,70,-999,18954.2,18954,0,5.09255e+11
1,gen=1_member=163_pso,-13314.2,44,-999,17947.1,17947,0,3.35119e+11
1,gen=1_member=164_pso,39374.8,51,-999,19795.1,19795,0,3.65714e+11
1,gen=1_member=165_pso,-4711.64,77,-999,18469.2,18469,0,5.92468e+11
1,gen=1_member=166_pso,-97645.3,128,-999,10855.4,10855,0,1.17455e+12
1,gen=1_member=167_pso,44473.1,14,-999,19855,19855,0,1.32692e+11
1,gen=1_member=168_pso,-1092.22,64,-999,18724.2,18724,0,4.42436e+11
1,gen=1_member=169_pso,-48519.5,158,-999,14647.5,14647,0,1.47842e+12
1,gen=1_member=170_pso,-95690.1,129,-999,11122.4,11122,0,1.18913e+12
1,gen=1_member=171_pso,-57979,35,-999,14440.1,14440,0,2.66365e+11
1,gen=1_member=172_pso,37281.1,42,-999,19764.1,19764,0,3.19892e+11
1,gen=1_member=173_pso,26224.1,40,-999,19669.1,19669,0,2.76151e+11
1,gen=1_member=174_pso,68030.1,2,-999,19900,19900,0,4.91897e+09
1,gen=1_member=175_pso,3835.03,94,-999,18997.3,18997,0,7.51525e+11
1,gen=1_member=176_pso,43466.4,8,-999,19845,19845,0,6.9525e+10
1,gen=1_member=177_pso,48555.4,106,-999,19890.3,19890,0,8.4516e+11
1,gen=1_member=178_pso,16272.8,28,-999,19494.1,19494,0,2.22288e+11
1,gen=1_member=179_pso,-1299.96,43,-999,18675.1,18675,0,3.32694e+11
1,gen=1_member=180_pso,-467.582,25,-999,18772.1,18772,0,2.16762e+11
1,gen=1_member=181_pso,42055.9,3,-999,19834,19834,0,2.78342e+10
1,gen=1_member=182_pso,-2715.29,15,-999,18574,18574,0,1.32887e+11
1,gen=1_member=183_pso,-73940.2,53,-999,12997.1,12997,0,3.73758e+11
1,gen=1_member=184_pso,-144035,149,-999,4675.49,4675,0,1.41192e+12
1,gen=1_member=185_pso,-25499.6,29,-999,16974.1,16974,0,2.28003e+11
1,gen=1_member=186_pso,-144127,130,-999,4500.41,4500,0,1.19123e+12
1,gen=1_member=187_pso,-129316,139,-999,6859.44,6859,0,1.27318e+12
1,gen=1_member=188_pso,-35164,11,-999,16245,16245,0,1.07474e+11
1,gen=1_member=189_pso,-79911.3,87,-999,12519.2,12519,0,6.68202e+11
1,gen=1_member=190_pso,-25213.4,37,-999,17125.1,17125,0,2.67147e+11
1,gen=1_member=191_pso,-36339.2,120,-999,15984.4,15984,0,1.04959e+12
1,gen=1_member=192_pso,44528.8,10,-999,19864,19864,0,9.45066e+10
1,gen=1_member=193_pso,-5779.6,21,-999,18360.1,18360,0,1.92123e+11
1,gen=1_member=194_pso,-128666,157,-999,7180.51,7180,0,1.47283e+12
1,gen=1_member=195_pso,-41646,83,-999,15895.2,15895,0,6.37893e+11
1,gen=1_member=196_pso,-13441.6,116,-999,17884.4,17884,0,1.01424e+12
1,gen=1_member=197_pso,-106525,151,-999,9460.49,9460,0,1.42686e+12
1,gen=1_member=198_pso,-32986.3,111,-999,16497.3,16497,0,9.29093e+11
1,gen=1_member=199_pso,7433.54,19,-999,19159.1,19159,0,1.70229e+11
1,gen=0_member=72,8370.16,20,-999,19197.1,19197,0,1.88691e+11
1,gen=0_member=71,-5271.5,18,-999,18415.1,18415,0,1.49991e+11
1,gen=0_member=52,38956.3,26,-999,19780.1,19780,0,2.1715e+11
1,gen=0_member=89,6199.22,38,-999,19120.1,19120,0,2.71443e+11
1,gen=0_member=63,-43805.4,54,-999,15244.1,15244,0,3.74514e+11
1,gen=0_member=32,-42373.5,55,-999,15622.1,15622,0,3.76333e+11
1,gen=0_member=73,25995.1,58,-999,19647.1,19647,0,3.98355e+11
1,gen=0_member=82,-34260.5,67,-999,16330.2,16330,0,4.8525e+11
1,gen=0_member=51,-65733,68,-999,14014.2,14014,0,4.85769e+11
1,gen=0_member=48,-46553.6,76,-999,14950.2,14950,0,5.77978e+11
1,gen=0_member=12,-51796.1,78,-999,14544.2,14544,0,5.98921e+11
1,gen=0_member=61,-17696.7,81,-999,17689.2,17689,0,6.0946e+11
1,gen=0_member=79,-69221.5,91,-999,13684.2,13684,0,7.14333e+11
1,gen=0_member=49,-117982,93,-999,8424.26,8424,0,7.506e+11
1,gen=0_member=40,-104692,95,-999,9604.26,9604,0,7.59559e+11
1,gen=0_member=55,-22644.9,96,-999,17485.3,17485,0,7.60769e+11
1,gen=0_member=11,4400.38,97,-999,19039.3,19039,0,7.66414e+11
1,gen=0_member=38,15260.2,98,-999,19465.3,19465,0,7.80971e+11
1,gen=0_member=2,-120900,101,-999,7810.27,7810,0,7.94408e+11
1,gen=0_member=54,-76060.1,102,-999,12760.3,12760,0,8.11037e+11
1,gen=0_member=62,-45527.4,103,-999,15147.3,15147,0,8.22376e+11
1,gen=0_member=64,-58018.4,104,-999,14335.3,14335,0,8.3437e+11
1,gen=0_member=58,-41653.2,109,-999,15805.3,15805,0,8.93771e+11
1,gen=0_member=30,-76492.3,110,-999,12640.3,12640,0,9.10966e+11
1,gen=0_member=23,-113120,112,-999,9022.32,9022,0,9.38795e+11
1,gen=0_member=13,-42327,113,-999,15714.3,15714,0,9.79695e+11
1,gen=0_member=25,-133697,114,-999,6205.35,6205,0,1.00081e+12
1,gen=0_member=46,-64816.9,115,-999,14122.3,14122,0,1.01172e+12
1,gen=0_member=24,-94132.5,117,-999,11515.4,11515,0,1.0259e+12
1,gen=0_member=88,-126451,118,-999,7339.36,7339,0,1.03507e+12
1,gen=0_member=18,-96048.4,119,-999,10989.4,10989,0,1.03531e+12
1,gen=0_member=0,-72730.2,121,-999,13230.4,13230,0,1.07085e+12
1,gen=0_member=96,-120913,122,-999,7654.38,7654,0,1.09061e+12
1,gen=0_member=27,-131268,123,-999,6697.38,6697,0,1.09909e+12
1,gen=0_member=4,-74711.4,124,-999,12879.4,12879,0,1.11037e+12
1,gen=0_member=22,-71575.4,125,-999,13459.4,13459,0,1.12783e+12
1,gen=0_member=35,-90746.3,126,-999,12025.4,12025,0,1.15143e+12
1,gen=0_member=70,10160.1,127,-999,19234.4,19234,0,1.17031e+12
1,gen=0_member=93,-131375,131,-999,6534.41,6534,0,1.1962e+12
1,gen=0_member=57,-120593,132,-999,7965.42,7965,0,1.21313e+12
1,gen=0_member=39,-99819.1,133,-999,10447.4,10447,0,1.21629e+12
1,gen=0_member=36,-160811,134,-999,2695.42,2695,0,1.22449e+12
1,gen=0_member=20,-32084.3,135,-999,16579.4,16579,0,1.25286e+12
1,gen=0_member=75,-144615,136,-999,4324.43,4324,0,1.25289e+12
1,gen=0_member=56,-98118.7,137,-999,10584.4,10584,0,1.25835e+12
1,gen=0_member=45,-102844,138,-999,9889.44,9889,0,1.2678e+12
1,gen=0_member=68,-92221.6,140,-999,11772.4,11772,0,1.27628e+12
1,gen=0_member=99,-43683,142,-999,15340.4,15340,0,1.29618e+12
1,gen=0_member=60,-95338,143,-999,11385.5,11385,0,1.30923e+12
1,gen=0_member=78,-119047,144,-999,8272.46,8272,0,1.34029e+12
1,gen=0_member=14,-135520,146,-999,5872.48,5872,0,1.39099e+12
1,gen=0_member=17,-151551,147,-999,3969.48,3969,0,1.40005e+12
1,gen=0_member=95,-101545,148,-999,10170.5,10170,0,1.41099e+12
1,gen=0_member=19,-134909,150,-999,6039.49,6039,0,1.42428e+12
1,gen=0_member=16,-92854.5,152,-999,11644.5,11644,0,1.45086e+12
1,gen=0_member=65,-188366,153,-999,1945.5,1945,0,1.45197e+12
1,gen=0_member=90,-157465,154,-999,3247.5,3247,0,1.4544e+12
1,gen=0_member=34,-88227.2,155,-999,12150.5,12150,0,1.4675e+12
1,gen=0_member=1,-88197.5,156,-999,12274.5,12274,0,1.47177e+12
1,gen=0_member=8,-66722.9,159,-999,13795.5,13795,0,1.48048e+12
1,gen=0_member=47,-73164.7,160,-999,13114.5,13114,0,1.48315e+12
1,gen=0_member=97,-103267,161,-999,9747.51,9747,0,1.48901e+12
1,gen=0_member=41,-66076.9,162,-999,13905.5,13905,0,1.50867e+12
1,gen=0_member=33,-36281.5,163,-999,16072.5,16072,0,1.51124e+12
1,gen=0_member=26,-141080,164,-999,4849.54,4849,0,1.56256e+12
1,gen=0_member=37,-173534,165,-999,2509.54,2509,0,1.56533e+12
1,gen=0_member=44,-82205.3,166,-999,12397.5,12397,0,1.57144e+12
1,gen=0_member=21,-119118,167,-999,8119.55,8119,0,1.58386e+12
1,gen=0_member=69,-129103,168,-999,7020.55,7020,0,1.58514e+12
1,gen=0_member=31,-139677,169,-999,5365.55,5365,0,1.5902e+12
1,gen=0_member=92,-139458,170,-999,5535.56,5535,0,1.63066e+12
1,gen=0_member=42,-226493,171,-999,397.568,397,0,1.64557e+12
1,gen=0_member=3,-114983,172,-999,8575.58,8575,0,1.66581e+12
1,gen=0_member=84,-153062,173,-999,3610.58,3610,0,1.66586e+12
1,gen=0_member=10,-174741,174,-999,2322.58,2322,0,1.67056e+12
1,gen=0_member=29,-95466.3,175,-999,11254.6,11254,0,1.67935e+12
1,gen=0_member=91,-100552,176,-999,10309.6,10309,0,1.69109e+12
1,gen=0_member=6,-126109,177,-999,7497.59,7497,0,1.71702e+12
1,gen=0_member=77,-198677,178,-999,1372.6,1372,0,1.73221e+12
1,gen=0_member=59,-148825,179,-999,4147.62,4147,0,1.78937e+12
1,gen=0_member=5,-191756,180,-999,1564.63,1564,0,1.83341e+12
1,gen=0_member=28,-114900,181,-999,8725.63,8725,0,1.83384e+12
1,gen=0_member=15,-157402,182,-999,3429.63,3429,0,1.83632e+12
1,gen=0_member=53,-158189,183,-999,2880.66,2880,0,1.91911e+12
1,gen=0_member=74,-233238,184,-999,199.667,199,0,1.93144e+12
1,gen=0_member=76,-190336,185,-999,1755.68,1755,0,1.96519e+12
1,gen=0_member=7,-136180,186,-999,5704.68,5704,0,1.97945e+12
1,gen=0_member=87,-101886,187,-999,10030.7,10030,0,2.01364e+12
1,gen=0_member=80,-110007,188,-999,9315.7,9315,0,2.02361e+12
1,gen=0_member=86,-235110,189,-999,0.699511,1.34589e-05,0,2.02593e+12
1,gen=0_member=94,-97949.5,190,-999,10720.7,10720,0,2.04053e+12
1,gen=0_member=98,-157824,191,-999,3064.72,3064,0,2.07412e+12
1,gen=0_member=85,-114895,192,-999,8874.72,8874,0,2.09072e+12
1,gen=0_member=50,-201549,193,-999,1179.74,1179,0,2.13338e+12
1,gen=0_member=81,-202803,194,-999,985.809,985,0,2.34417e+12
1,gen=0_member=43,-131576,195,-999,6370.83,6370,0,2.39511e+12
1,gen=0_member=66,-152368,196,-999,3790.89,3790,0,2.58415e+12
1,gen=0_member=67,-204335,197,-999,790.925,790,0,2.67789e+12
1,gen=0_member=9,-176103,198,-999,2134.95,2134,0,2.74732e+12
1,gen=0_member=83,-219757,199,-999,595,594,0,2.89626e+12
2,gen=2_member=200_pso,60684.8,5,-999,19665,19665,0,1.25438e+09
2,gen=2_member=201_pso,33026.4,14,-999,18161,18161,0,1.42239e+10
2,gen=2_member=202_pso,67179.2,9,-999,19691,19691,0,2.7785e+09
2,gen=2_member=203_pso,37371.3,15,-999,18711,18711,0,1.44508e+10
2,gen=2_member=204_pso,67402.9,8,-999,19695,19695,0,2.59974e+09
2,gen=2_member=205_pso,71020.1,17,-999,19701,19701,0,2.33065e+10
2,gen=2_member=206_pso,36098.9,24,-999,18620,18620,0,4.81113e+10
2,gen=2_member=207_pso,62025.7,35,-999,19680.1,19680,0,8.12075e+10
2,gen=2_member=208_pso,61176.1,1,-999,19673,19673,0,9.60015e+08
2,gen=2_member=209_pso,39439.8,55,-999,18998.1,18998,0,1.15565e+11
2,gen=2_member=210_pso,53561.4,2,-999,19548,19548,0,9.89997e+08
2,gen=2_member=211_pso,15360.8,16,-999,16541,16541,0,1.86052e+10
2,gen=2_member=212_pso,8548.02,42,-999,15423.1,15423,0,9.53848e+10
2,gen=2_member=213_pso,-67623.5,157,-999,2310.49,2310,0,5.25672e+11
2,gen=2_member=214_pso,4157.61,79,-999,14241.2,14241,0,1.97612e+11
2,gen=2_member=215_pso,48398.1,12,-999,19401,19401,0,8.76679e+09
2,gen=2_member=216_pso,23920.9,34,-999,17355.1,17355,0,7.75953e+10
2,gen=2_member=217_pso,23051,64,-999,17286.1,17286,0,1.46188e+11
2,gen=2_member=218_pso,39967.8,99,-999,19035.2,19035,0,2.64212e+11
2,gen=2_member=219_pso,49524.5,4,-999,19448,19448,0,1.20416e+09
2,gen=2_member=220_pso,-29638.6,88,-999,6981.22,6981,0,2.34159e+11
2,gen=2_member=221_pso,56215.9,13,-999,19623,19623,0,1.30213e+10
2,gen=2_member=222_pso,5334.65,19,-999,14651,14651,0,3.13314e+10
2,gen=2_member=223_pso,-17923.5,95,-999,9405.23,9405,0,2.50011e+11
2,gen=2_member=224_pso,40620.7,29,-999,19140.1,19140,0,6.34163e+10
2,gen=2_member=225_pso,54833.8,37,-999,19596.1,19596,0,8.34987e+10
2,gen=2_member=226_pso,7646.02,167,-999,15141.6,15141,0,6.08207e+11
2,gen=2_member=227_pso,34284.7,23,-999,18375,18375,0,4.0969e+10
2,gen=2_member=228_pso,24457.7,69,-999,17490.1,17490,0,1.55094e+11
2,gen=2_member=229_pso,35615.7,6,-999,18573,18573,0,1.27273e+09
2,gen=2_member=230_pso,19745,59,-999,16775.1,16775,0,1.29703e+11
2,gen=2_member=231_pso,29982,56,-999,18048.1,18048,0,1.1667e+11
2,gen=2_member=232_pso,40586.5,72,-999,19106.2,19106,0,1.75985e+11
2,gen=2_member=233_pso,3372.14,71,-999,13923.2,13923,0,1.70527e+11
2,gen=2_member=234_pso,6292.72,132,-999,14948.4,14948,0,3.78117e+11
2,gen=2_member=235_pso,39419.9,73,-999,18960.2,18960,0,1.80422e+11
2,gen=2_member=236_pso,-47939.2,81,-999,3411.19,3411,0,2.01937e+11
2,gen=2_member=237_pso,8304.94,68,-999,15236.1,15236,0,1.51046e+11
2,gen=2_member=238_pso,-89127.2,193,-999,786.732,786,0,7.88989e+11
2,gen=2_member=239_pso,26653.4,110,-999,17685.3,17685,0,2.94885e+11
2,gen=2_member=240_pso,39055,49,-999,18840.1,18840,0,1.07301e+11
2,gen=2_member=241_pso,33045.7,25,-999,18216,18216,0,5.32639e+10
2,gen=2_member=242_pso,51004.4,21,-999,19470,19470,0,3.62734e+10
2,gen=2_member=243_pso,38171.8,26,-999,18755.1,18755,0,5.45663e+10
2,gen=2_member=244_pso,-10575.5,115,-999,11055.3,11055,0,3.25994e+11
2,gen=2_member=245_pso,-38382.5,98,-999,5166.24,5166,0,2.61444e+11
