real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
10,3708.4511294415974589,3708.4511294415974589,0,0,2902.6962679965713505,2902.6962679965713505,4402.7741809879680659,4402.7741809879680659,3708.4511294415974589,3708.4511294415974589,0,0,2902.6962679965713505,2902.6962679965713505,4402.7741809879680659,4402.7741809879680659,3708.4511294415974589,3708.4511294415974589,0,0,2902.6962679965713505,2902.6962679965713505,4402.7741809879680659,4402.7741809879680659
11,1784.48886247217456,1784.48886247217456,14.261229108793751053,14.261229108793751053,6468.9421299444002216,6468.9421299444002216,125.58619401404948235,125.58619401404948235,1784.48886247217456,1784.48886247217456,14.261229108793751053,14.261229108793751053,6468.9421299444002216,6468.9421299444002216,125.58619401404948235,125.58619401404948235,153825.06151093161316,153825.06151093161316,14.261229108793751053,14.261229108793751053,6468.9421299444002216,6468.9421299444002216,182162.86288384767249,182162.86288384767249
12,0,0,6131.8318428657748882,6131.8318428657748882,6431.4496681107057157,6431.4496681107057157,13159.649155023727872,13159.649155023727872,0,0,6131.8318428657748882,6131.8318428657748882,6431.4496681107057157,6431.4496681107057157,13159.649155023727872,13159.649155023727872,0,0,115619.82981795725937,115619.82981795725937,6431.4496681107057157,6431.4496681107057157,13159.649155023727872,13159.649155023727872
13,3351.1426838607944774,3351.1426838607944774,5617.967444162681204,5617.967444162681204,0,0,0,0,3351.1426838607944774,3351.1426838607944774,5617.967444162681204,5617.967444162681204,0,0,0,0,58789.259183983507683,58789.259183983507683,5617.967444162681204,5617.967444162681204,28830.876972616908461,28830.876972616908461,0,0
14,656.86839942488927591,656.86839942488927591,6764.5537103175247466,6764.5537103175247466,0,0,0,0,656.86839942488927591,656.86839942488927591,6764.5537103175247466,6764.5537103175247466,0,0,0,0,656.86839942488927591,656.86839942488927591,6764.5537103175247466,6764.5537103175247466,0,0,0,0
15,9102.6432262670023192,9102.6432262670023192,13521.846996106263759,13521.846996106263759,3602.3761995544086858,3602.3761995544086858,9144.0477368097017461,9144.0477368097017461,9102.6432262670023192,9102.6432262670023192,13521.846996106263759,13521.846996106263759,3602.3761995544086858,3602.3761995544086858,9144.0477368097017461,9144.0477368097017461,61936.221155948733212,61936.221155948733212,45711.833970316431078,45711.833970316431078,205680.76902850146871,205680.76902850146871,9144.0477368097017461,9144.0477368097017461
16,15423.488071197023601,15423.488071197023601,25603.780678929957503,25603.780678929957503,20495.31205717852572,20495.31205717852572,15326.3223319616136,15326.3223319616136,15423.488071197023601,15423.488071197023601,25603.780678929957503,25603.780678929957503,20495.31205717852572,20495.31205717852572,15326.3223319616136,15326.3223319616136,206560.26774003426544,206560.26774003426544,51847.814148447941989,51847.814148447941989,27974.703240467428259,27974.703240467428259,198356.77504486299586,198356.77504486299586
17,480.42397500149451162,480.42397500149451162,763.96757410860755044,763.96757410860755044,480.42397500149451162,480.42397500149451162,480.42397500149451162,480.42397500149451162,480.42397500149451162,480.42397500149451162,763.96757410860755044,763.96757410860755044,480.42397500149451162,480.42397500149451162,480.42397500149451162,480.42397500149451162,61900.130506074419827,61900.130506074419827,88269.949677916083601,88269.949677916083601,23900.68083932477748,23900.68083932477748,480.42397500149451162,480.42397500149451162
18,7422.1956566134094828,7422.1956566134094828,7541.4510150936648643,7541.4510150936648643,6002.2239271124180959,6002.2239271124180959,8910.4385931225115201,8910.4385931225115201,7422.1956566134094828,7422.1956566134094828,7541.4510150936648643,7541.4510150936648643,6002.2239271124180959,6002.2239271124180959,8910.4385931225115201,8910.4385931225115201,81924.148198270777357,81924.148198270777357,7541.4510150936648643,7541.4510150936648643,6002.2239271124180959,6002.2239271124180959,8910.4385931225115201,8910.4385931225115201
19,173.81121245842655298,173.81121245842655298,463.00778117036264803,463.00778117036264803,2734.7117413582550398,2734.7117413582550398,8147.2796932890250901,8147.2796932890250901,173.81121245842655298,173.81121245842655298,463.00778117036264803,463.00778117036264803,2734.7117413582550398,2734.7117413582550398,8147.2796932890250901,8147.2796932890250901,173.81121245842655298,173.81121245842655298,463.00778117036264803,463.00778117036264803,2734.7117413582550398,2734.7117413582550398,23281.216377556465886,23281.216377556465886
base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
