child,parent_1,parent_2,parent_3
GEN=1_MEMBER=141_PSO,GEN=0_MEMBER=85,,
GEN=1_MEMBER=142_PSO,GEN=0_MEMBER=89,,
GEN=1_MEMBER=143_PSO,GEN=0_MEMBER=57,,
GEN=1_MEMBER=144_PSO,GEN=0_MEMBER=75,,
GEN=1_MEMBER=145_PSO,GEN=0_MEMBER=5,,
GEN=1_MEMBER=146_PSO,GEN=0_MEMBER=83,,
GEN=1_MEMBER=147_PSO,GEN=0_MEMBER=32,,
GEN=1_MEMBER=148_PSO,GEN=0_MEMBER=79,,
GEN=1_MEMBER=149_PSO,GEN=0_MEMBER=60,,
GEN=1_MEMBER=150_PSO,GEN=0_MEMBER=54,,
GEN=1_MEMBER=151_PSO,GEN=0_MEMBER=10,,
GEN=1_MEMBER=152_PSO,GEN=0_MEMBER=2,,
GEN=1_MEMBER=153_PSO,GEN=0_MEMBER=96,,
GEN=1_MEMBER=154_PSO,GEN=0_MEMBER=65,,
GEN=1_MEMBER=155_PSO,GEN=0_MEMBER=26,,
GEN=1_MEMBER=156_PSO,GEN=0_MEMBER=9,,
GEN=1_MEMBER=157_PSO,GEN=0_MEMBER=69,,
GEN=1_MEMBER=158_PSO,GEN=0_MEMBER=42,,
GEN=1_MEMBER=159_PSO,GEN=0_MEMBER=91,,
GEN=1_MEMBER=160_PSO,GEN=0_MEMBER=14,,
GEN=1_MEMBER=161_PSO,GEN=0_MEMBER=88,,
GEN=1_MEMBER=162_PSO,GEN=0_MEMBER=53,,
GEN=1_MEMBER=163_PSO,GEN=0_MEMBER=74,,
GEN=1_MEMBER=164_PSO,GEN=0_MEMBER=68,,
GEN=1_MEMBER=165_PSO,GEN=0_MEMBER=71,,
GEN=1_MEMBER=166_PSO,GEN=0_MEMBER=37,,
GEN=1_MEMBER=167_PSO,GEN=0_MEMBER=61,,
GEN=1_MEMBER=168_PSO,GEN=0_MEMBER=48,,
GEN=1_MEMBER=169_PSO,GEN=0_MEMBER=44,,
GEN=1_MEMBER=170_PSO,GEN=0_MEMBER=17,,
GEN=1_MEMBER=171_PSO,GEN=0_MEMBER=56,,
GEN=1_MEMBER=172_PSO,GEN=0_MEMBER=64,,
GEN=1_MEMBER=173_PSO,GEN=0_MEMBER=23,,
GEN=1_MEMBER=174_PSO,GEN=0_MEMBER=81,,
GEN=1_MEMBER=175_PSO,GEN=0_MEMBER=90,,
GEN=1_MEMBER=176_PSO,GEN=0_MEMBER=30,,
GEN=1_MEMBER=177_PSO,GEN=0_MEMBER=8,,
GEN=1_MEMBER=178_PSO,GEN=0_MEMBER=55,,
GEN=1_MEMBER=179_PSO,GEN=0_MEMBER=0,,
GEN=1_MEMBER=180_PSO,GEN=0_MEMBER=47,,
GEN=1_MEMBER=181_PSO,GEN=0_MEMBER=97,,
GEN=1_MEMBER=182_PSO,GEN=0_MEMBER=21,,
GEN=1_MEMBER=183_PSO,GEN=0_MEMBER=1,,
GEN=1_MEMBER=184_PSO,GEN=0_MEMBER=52,,
GEN=1_MEMBER=185_PSO,GEN=0_MEMBER=94,,
GEN=1_MEMBER=186_PSO,GEN=0_MEMBER=95,,
GEN=1_MEMBER=187_PSO,GEN=0_MEMBER=73,,
GEN=1_MEMBER=188_PSO,GEN=0_MEMBER=99,,
GEN=1_MEMBER=189_PSO,GEN=0_MEMBER=4,,
GEN=1_MEMBER=190_PSO,GEN=0_MEMBER=70,,
GEN=1_MEMBER=191_PSO,GEN=0_MEMBER=92,,
GEN=1_MEMBER=192_PSO,GEN=0_MEMBER=41,,
GEN=1_MEMBER=193_PSO,GEN=0_MEMBER=22,,
GEN=1_MEMBER=194_PSO,GEN=0_MEMBER=13,,
GEN=1_MEMBER=195_PSO,GEN=0_MEMBER=38,,
GEN=1_MEMBER=196_PSO,GEN=0_MEMBER=33,,
GEN=1_MEMBER=197_PSO,GEN=0_MEMBER=62,,
GEN=1_MEMBER=198_PSO,GEN=0_MEMBER=16,,
GEN=1_MEMBER=199_PSO,GEN=0_MEMBER=87,,
GEN=2_MEMBER=200_PSO,GEN=1_MEMBER=114_PSO,,
GEN=2_MEMBER=201_PSO,GEN=1_MEMBER=103_PSO,,
GEN=2_MEMBER=202_PSO,GEN=1_MEMBER=146_PSO,,
GEN=2_MEMBER=203_PSO,GEN=1_MEMBER=120_PSO,,
GEN=2_MEMBER=204_PSO,GEN=1_MEMBER=194_PSO,,
GEN=2_MEMBER=205_PSO,GEN=1_MEMBER=183_PSO,,
GEN=2_MEMBER=206_PSO,GEN=1_MEMBER=174_PSO,,
GEN=2_MEMBER=207_PSO,GEN=0_MEMBER=66,,
GEN=2_MEMBER=208_PSO,GEN=0_MEMBER=36,,
GEN=2_MEMBER=209_PSO,GEN=1_MEMBER=130_PSO,,
GEN=2_MEMBER=210_PSO,GEN=1_MEMBER=102_PSO,,
GEN=2_MEMBER=211_PSO,GEN=1_MEMBER=122_PSO,,
GEN=2_MEMBER=212_PSO,GEN=1_MEMBER=113_PSO,,
GEN=2_MEMBER=213_PSO,GEN=0_MEMBER=34,,
GEN=2_MEMBER=214_PSO,GEN=0_MEMBER=78,,
GEN=2_MEMBER=215_PSO,GEN=0_MEMBER=39,,
GEN=2_MEMBER=216_PSO,GEN=0_MEMBER=11,,
GEN=2_MEMBER=217_PSO,GEN=0_MEMBER=15,,
GEN=2_MEMBER=218_PSO,GEN=0_MEMBER=84,,
GEN=2_MEMBER=219_PSO,GEN=1_MEMBER=126_PSO,,
GEN=2_MEMBER=220_PSO,GEN=0_MEMBER=19,,
GEN=2_MEMBER=221_PSO,GEN=0_MEMBER=50,,
GEN=2_MEMBER=222_PSO,GEN=0_MEMBER=25,,
GEN=2_MEMBER=223_PSO,GEN=1_MEMBER=109_PSO,,
GEN=2_MEMBER=224_PSO,GEN=1_MEMBER=162_PSO,,
GEN=2_MEMBER=225_PSO,GEN=1_MEMBER=185_PSO,,
GEN=2_MEMBER=226_PSO,GEN=0_MEMBER=59,,
GEN=2_MEMBER=227_PSO,GEN=0_MEMBER=77,,
GEN=2_MEMBER=228_PSO,GEN=0_MEMBER=18,,
GEN=2_MEMBER=229_PSO,GEN=1_MEMBER=184_PSO,,
GEN=2_MEMBER=230_PSO,GEN=1_MEMBER=187_PSO,,
GEN=2_MEMBER=231_PSO,GEN=1_MEMBER=100_PSO,,
GEN=2_MEMBER=232_PSO,GEN=1_MEMBER=111_PSO,,
GEN=2_MEMBER=233_PSO,GEN=1_MEMBER=158_PSO,,
GEN=2_MEMBER=234_PSO,GEN=1_MEMBER=150_PSO,,
GEN=2_MEMBER=235_PSO,GEN=0_MEMBER=49,,
GEN=2_MEMBER=236_PSO,GEN=1_MEMBER=149_PSO,,
GEN=2_MEMBER=237_PSO,GEN=0_MEMBER=29,,
GEN=2_MEMBER=238_PSO,GEN=1_MEMBER=160_PSO,,
GEN=2_MEMBER=239_PSO,GEN=0_MEMBER=43,,
GEN=2_MEMBER=240_PSO,GEN=1_MEMBER=199_PSO,,
GEN=2_MEMBER=241_PSO,GEN=1_MEMBER=132_PSO,,
GEN=2_MEMBER=242_PSO,GEN=0_MEMBER=35,,
GEN=2_MEMBER=243_PSO,GEN=1_MEMBER=163_PSO,,
GEN=2_MEMBER=244_PSO,GEN=1_MEMBER=167_PSO,,
GEN=2_MEMBER=245_PSO,GEN=1_MEMBER=115_PSO,,
GEN=2_MEMBER=246_PSO,GEN=1_MEMBER=128_PSO,,
GEN=2_MEMBER=247_PSO,GEN=0_MEMBER=76,,
GEN=2_MEMBER=248_PSO,GEN=0_MEMBER=7,,
GEN=2_MEMBER=249_PSO,GEN=1_MEMBER=155_PSO,,
GEN=2_MEMBER=250_PSO,GEN=1_MEMBER=188_PSO,,
GEN=2_MEMBER=251_PSO,GEN=0_MEMBER=46,,
GEN=2_MEMBER=252_PSO,GEN=1_MEMBER=141_PSO,,
GEN=2_MEMBER=253_PSO,GEN=1_MEMBER=180_PSO,,
GEN=2_MEMBER=254_PSO,GEN=1_MEMBER=129_PSO,,
GEN=2_MEMBER=255_PSO,GEN=1_MEMBER=159_PSO,,
GEN=2_MEMBER=256_PSO,GEN=0_MEMBER=82,,
GEN=2_MEMBER=257_PSO,GEN=1_MEMBER=177_PSO,,
GEN=2_MEMBER=258_PSO,GEN=0_MEMBER=98,,
GEN=2_MEMBER=259_PSO,GEN=1_MEMBER=140_PSO,,
GEN=2_MEMBER=260_PSO,GEN=0_MEMBER=31,,
GEN=2_MEMBER=261_PSO,GEN=1_MEMBER=178_PSO,,
GEN=2_MEMBER=262_PSO,GEN=1_MEMBER=127_PSO,,
GEN=2_MEMBER=263_PSO,GEN=0_MEMBER=58,,
GEN=2_MEMBER=264_PSO,GEN=1_MEMBER=138_PSO,,
GEN=2_MEMBER=265_PSO,GEN=1_MEMBER=152_PSO,,
GEN=2_MEMBER=266_PSO,GEN=0_MEMBER=80,,
GEN=2_MEMBER=267_PSO,GEN=0_MEMBER=20,,
GEN=2_MEMBER=268_PSO,GEN=1_MEMBER=147_PSO,,
GEN=2_MEMBER=269_PSO,GEN=1_MEMBER=196_PSO,,
GEN=2_MEMBER=270_PSO,GEN=0_MEMBER=67,,
GEN=2_MEMBER=271_PSO,GEN=0_MEMBER=3,,
GEN=2_MEMBER=272_PSO,GEN=0_MEMBER=40,,
GEN=2_MEMBER=273_PSO,GEN=1_MEMBER=123_PSO,,
GEN=2_MEMBER=274_PSO,GEN=0_MEMBER=63,,
GEN=2_MEMBER=275_PSO,GEN=0_MEMBER=45,,
GEN=2_MEMBER=276_PSO,GEN=0_MEMBER=72,,
GEN=2_MEMBER=277_PSO,GEN=1_MEMBER=125_PSO,,
GEN=2_MEMBER=278_PSO,GEN=1_MEMBER=153_PSO,,
GEN=2_MEMBER=279_PSO,GEN=1_MEMBER=119_PSO,,
GEN=2_MEMBER=280_PSO,GEN=1_MEMBER=161_PSO,,
GEN=2_MEMBER=281_PSO,GEN=1_MEMBER=151_PSO,,
GEN=2_MEMBER=282_PSO,GEN=0_MEMBER=51,,
GEN=2_MEMBER=283_PSO,GEN=1_MEMBER=165_PSO,,
GEN=2_MEMBER=284_PSO,GEN=1_MEMBER=191_PSO,,
GEN=2_MEMBER=285_PSO,GEN=0_MEMBER=6,,
GEN=2_MEMBER=286_PSO,GEN=1_MEMBER=101_PSO,,
GEN=2_MEMBER=287_PSO,GEN=0_MEMBER=86,,
GEN=2_MEMBER=288_PSO,GEN=0_MEMBER=93,,
GEN=2_MEMBER=289_PSO,GEN=1_MEMBER=189_PSO,,
GEN=2_MEMBER=290_PSO,GEN=0_MEMBER=12,,
GEN=2_MEMBER=291_PSO,GEN=0_MEMBER=28,,
GEN=2_MEMBER=292_PSO,GEN=1_MEMBER=156_PSO,,
GEN=2_MEMBER=293_PSO,GEN=1_MEMBER=181_PSO,,
GEN=2_MEMBER=294_PSO,GEN=0_MEMBER=24,,
GEN=2_MEMBER=295_PSO,GEN=1_MEMBER=173_PSO,,
GEN=2_MEMBER=296_PSO,GEN=1_MEMBER=135_PSO,,
GEN=2_MEMBER=297_PSO,GEN=1_MEMBER=105_PSO,,
GEN=2_MEMBER=298_PSO,GEN=1_MEMBER=193_PSO,,
GEN=2_MEMBER=299_PSO,GEN=1_MEMBER=121_PSO,,
GEN=3_MEMBER=300_PSO,GEN=1_MEMBER=114_PSO,,
GEN=3_MEMBER=301_PSO,GEN=1_MEMBER=103_PSO,,
GEN=3_MEMBER=302_PSO,GEN=1_MEMBER=146_PSO,,
GEN=3_MEMBER=303_PSO,GEN=1_MEMBER=120_PSO,,
GEN=3_MEMBER=304_PSO,GEN=1_MEMBER=194_PSO,,
GEN=3_MEMBER=305_PSO,GEN=2_MEMBER=202_PSO,,
GEN=3_MEMBER=306_PSO,GEN=2_MEMBER=223_PSO,,
GEN=3_MEMBER=307_PSO,GEN=2_MEMBER=288_PSO,,
GEN=3_MEMBER=308_PSO,GEN=1_MEMBER=183_PSO,,
GEN=3_MEMBER=309_PSO,GEN=2_MEMBER=262_PSO,,
GEN=3_MEMBER=310_PSO,GEN=2_MEMBER=260_PSO,,
GEN=3_MEMBER=311_PSO,GEN=2_MEMBER=210_PSO,,
GEN=3_MEMBER=312_PSO,GEN=2_MEMBER=258_PSO,,
GEN=3_MEMBER=313_PSO,GEN=1_MEMBER=174_PSO,,
GEN=3_MEMBER=314_PSO,GEN=0_MEMBER=66,,
GEN=3_MEMBER=315_PSO,GEN=2_MEMBER=291_PSO,,
GEN=3_MEMBER=316_PSO,GEN=0_MEMBER=36,,
GEN=3_MEMBER=317_PSO,GEN=1_MEMBER=130_PSO,,
GEN=3_MEMBER=318_PSO,GEN=1_MEMBER=102_PSO,,
GEN=3_MEMBER=319_PSO,GEN=1_MEMBER=122_PSO,,
GEN=3_MEMBER=320_PSO,GEN=1_MEMBER=113_PSO,,
GEN=3_MEMBER=321_PSO,GEN=2_MEMBER=212_PSO,,
GEN=3_MEMBER=322_PSO,GEN=0_MEMBER=34,,
GEN=3_MEMBER=323_PSO,GEN=0_MEMBER=78,,
GEN=3_MEMBER=324_PSO,GEN=2_MEMBER=222_PSO,,
GEN=3_MEMBER=325_PSO,GEN=0_MEMBER=39,,
GEN=3_MEMBER=326_PSO,GEN=2_MEMBER=275_PSO,,
GEN=3_MEMBER=327_PSO,GEN=0_MEMBER=11,,
GEN=3_MEMBER=328_PSO,GEN=2_MEMBER=298_PSO,,
GEN=3_MEMBER=329_PSO,GEN=0_MEMBER=15,,
GEN=3_MEMBER=330_PSO,GEN=2_MEMBER=279_PSO,,
GEN=3_MEMBER=331_PSO,GEN=0_MEMBER=84,,
GEN=3_MEMBER=332_PSO,GEN=2_MEMBER=207_PSO,,
GEN=3_MEMBER=333_PSO,GEN=2_MEMBER=200_PSO,,
GEN=3_MEMBER=334_PSO,GEN=1_MEMBER=126_PSO,,
GEN=3_MEMBER=335_PSO,GEN=2_MEMBER=280_PSO,,
GEN=3_MEMBER=336_PSO,GEN=0_MEMBER=19,,
GEN=3_MEMBER=337_PSO,GEN=0_MEMBER=50,,
GEN=3_MEMBER=338_PSO,GEN=0_MEMBER=25,,
GEN=3_MEMBER=339_PSO,GEN=1_MEMBER=109_PSO,,
GEN=3_MEMBER=340_PSO,GEN=1_MEMBER=162_PSO,,
GEN=3_MEMBER=341_PSO,GEN=2_MEMBER=263_PSO,,
GEN=3_MEMBER=342_PSO,GEN=2_MEMBER=281_PSO,,
GEN=3_MEMBER=343_PSO,GEN=1_MEMBER=185_PSO,,
GEN=3_MEMBER=344_PSO,GEN=0_MEMBER=59,,
GEN=3_MEMBER=345_PSO,GEN=2_MEMBER=292_PSO,,
GEN=3_MEMBER=346_PSO,GEN=2_MEMBER=252_PSO,,
GEN=3_MEMBER=347_PSO,GEN=2_MEMBER=285_PSO,,
GEN=3_MEMBER=348_PSO,GEN=2_MEMBER=271_PSO,,
GEN=3_MEMBER=349_PSO,GEN=0_MEMBER=77,,
GEN=3_MEMBER=350_PSO,GEN=2_MEMBER=245_PSO,,
GEN=3_MEMBER=351_PSO,GEN=2_MEMBER=284_PSO,,
GEN=3_MEMBER=352_PSO,GEN=2_MEMBER=215_PSO,,
GEN=3_MEMBER=353_PSO,GEN=2_MEMBER=224_PSO,,
GEN=3_MEMBER=354_PSO,GEN=0_MEMBER=18,,
GEN=3_MEMBER=355_PSO,GEN=2_MEMBER=267_PSO,,
GEN=3_MEMBER=356_PSO,GEN=1_MEMBER=184_PSO,,
GEN=3_MEMBER=357_PSO,GEN=1_MEMBER=187_PSO,,
GEN=3_MEMBER=358_PSO,GEN=1_MEMBER=100_PSO,,
GEN=3_MEMBER=359_PSO,GEN=2_MEMBER=235_PSO,,
GEN=3_MEMBER=360_PSO,GEN=1_MEMBER=111_PSO,,
GEN=3_MEMBER=361_PSO,GEN=1_MEMBER=158_PSO,,
GEN=3_MEMBER=362_PSO,GEN=2_MEMBER=253_PSO,,
GEN=3_MEMBER=363_PSO,GEN=2_MEMBER=232_PSO,,
GEN=3_MEMBER=364_PSO,GEN=1_MEMBER=150_PSO,,
GEN=3_MEMBER=365_PSO,GEN=2_MEMBER=269_PSO,,
GEN=3_MEMBER=366_PSO,GEN=0_MEMBER=49,,
GEN=3_MEMBER=367_PSO,GEN=1_MEMBER=149_PSO,,
GEN=3_MEMBER=368_PSO,GEN=2_MEMBER=234_PSO,,
GEN=3_MEMBER=369_PSO,GEN=0_MEMBER=29,,
GEN=3_MEMBER=370_PSO,GEN=1_MEMBER=160_PSO,,
GEN=3_MEMBER=371_PSO,GEN=0_MEMBER=43,,
GEN=3_MEMBER=372_PSO,GEN=1_MEMBER=199_PSO,,
GEN=3_MEMBER=373_PSO,GEN=2_MEMBER=217_PSO,,
GEN=3_MEMBER=374_PSO,GEN=1_MEMBER=132_PSO,,
GEN=3_MEMBER=375_PSO,GEN=2_MEMBER=297_PSO,,
GEN=3_MEMBER=376_PSO,GEN=0_MEMBER=35,,
GEN=3_MEMBER=377_PSO,GEN=2_MEMBER=270_PSO,,
GEN=3_MEMBER=378_PSO,GEN=1_MEMBER=163_PSO,,
GEN=3_MEMBER=379_PSO,GEN=2_MEMBER=290_PSO,,
GEN=3_MEMBER=380_PSO,GEN=2_MEMBER=243_PSO,,
GEN=3_MEMBER=381_PSO,GEN=1_MEMBER=167_PSO,,
GEN=3_MEMBER=382_PSO,GEN=1_MEMBER=115_PSO,,
GEN=3_MEMBER=383_PSO,GEN=1_MEMBER=128_PSO,,
GEN=3_MEMBER=384_PSO,GEN=0_MEMBER=76,,
GEN=3_MEMBER=385_PSO,GEN=0_MEMBER=7,,
GEN=3_MEMBER=386_PSO,GEN=2_MEMBER=242_PSO,,
GEN=3_MEMBER=387_PSO,GEN=1_MEMBER=155_PSO,,
GEN=3_MEMBER=388_PSO,GEN=2_MEMBER=259_PSO,,
GEN=3_MEMBER=389_PSO,GEN=1_MEMBER=188_PSO,,
GEN=3_MEMBER=390_PSO,GEN=0_MEMBER=46,,
GEN=3_MEMBER=391_PSO,GEN=2_MEMBER=239_PSO,,
GEN=3_MEMBER=392_PSO,GEN=1_MEMBER=141_PSO,,
GEN=3_MEMBER=393_PSO,GEN=2_MEMBER=203_PSO,,
GEN=3_MEMBER=394_PSO,GEN=2_MEMBER=273_PSO,,
GEN=3_MEMBER=395_PSO,GEN=1_MEMBER=180_PSO,,
GEN=3_MEMBER=396_PSO,GEN=1_MEMBER=129_PSO,,
GEN=3_MEMBER=397_PSO,GEN=1_MEMBER=159_PSO,,
GEN=3_MEMBER=398_PSO,GEN=2_MEMBER=236_PSO,,
GEN=3_MEMBER=399_PSO,GEN=2_MEMBER=226_PSO,,
GEN=4_MEMBER=400_PSO,GEN=1_MEMBER=114_PSO,,
GEN=4_MEMBER=401_PSO,GEN=3_MEMBER=352_PSO,,
GEN=4_MEMBER=402_PSO,GEN=1_MEMBER=103_PSO,,
GEN=4_MEMBER=403_PSO,GEN=1_MEMBER=146_PSO,,
GEN=4_MEMBER=404_PSO,GEN=1_MEMBER=120_PSO,,
GEN=4_MEMBER=405_PSO,GEN=3_MEMBER=393_PSO,,
GEN=4_MEMBER=406_PSO,GEN=3_MEMBER=315_PSO,,
GEN=4_MEMBER=407_PSO,GEN=3_MEMBER=380_PSO,,
GEN=4_MEMBER=408_PSO,GEN=3_MEMBER=351_PSO,,
GEN=4_MEMBER=409_PSO,GEN=1_MEMBER=194_PSO,,
GEN=4_MEMBER=410_PSO,GEN=2_MEMBER=202_PSO,,
GEN=4_MEMBER=411_PSO,GEN=2_MEMBER=223_PSO,,
GEN=4_MEMBER=412_PSO,GEN=2_MEMBER=288_PSO,,
GEN=4_MEMBER=413_PSO,GEN=3_MEMBER=339_PSO,,
GEN=4_MEMBER=414_PSO,GEN=1_MEMBER=183_PSO,,
GEN=4_MEMBER=415_PSO,GEN=2_MEMBER=262_PSO,,
GEN=4_MEMBER=416_PSO,GEN=3_MEMBER=345_PSO,,
GEN=4_MEMBER=417_PSO,GEN=2_MEMBER=260_PSO,,
GEN=4_MEMBER=418_PSO,GEN=3_MEMBER=360_PSO,,
GEN=4_MEMBER=419_PSO,GEN=3_MEMBER=305_PSO,,
GEN=4_MEMBER=420_PSO,GEN=2_MEMBER=210_PSO,,
GEN=4_MEMBER=421_PSO,GEN=3_MEMBER=382_PSO,,
GEN=4_MEMBER=422_PSO,GEN=2_MEMBER=258_PSO,,
GEN=4_MEMBER=423_PSO,GEN=1_MEMBER=174_PSO,,
GEN=4_MEMBER=424_PSO,GEN=0_MEMBER=66,,
GEN=4_MEMBER=425_PSO,GEN=2_MEMBER=291_PSO,,
GEN=4_MEMBER=426_PSO,GEN=0_MEMBER=36,,
GEN=4_MEMBER=427_PSO,GEN=1_MEMBER=130_PSO,,
GEN=4_MEMBER=428_PSO,GEN=1_MEMBER=102_PSO,,
GEN=4_MEMBER=429_PSO,GEN=1_MEMBER=122_PSO,,
GEN=4_MEMBER=430_PSO,GEN=1_MEMBER=113_PSO,,
GEN=4_MEMBER=431_PSO,GEN=2_MEMBER=212_PSO,,
GEN=4_MEMBER=432_PSO,GEN=3_MEMBER=308_PSO,,
GEN=4_MEMBER=433_PSO,GEN=0_MEMBER=34,,
GEN=4_MEMBER=434_PSO,GEN=3_MEMBER=363_PSO,,
GEN=4_MEMBER=435_PSO,GEN=3_MEMBER=362_PSO,,
GEN=4_MEMBER=436_PSO,GEN=0_MEMBER=78,,
GEN=4_MEMBER=437_PSO,GEN=2_MEMBER=222_PSO,,
GEN=4_MEMBER=438_PSO,GEN=0_MEMBER=39,,
GEN=4_MEMBER=439_PSO,GEN=2_MEMBER=275_PSO,,
GEN=4_MEMBER=440_PSO,GEN=3_MEMBER=371_PSO,,
GEN=4_MEMBER=441_PSO,GEN=0_MEMBER=11,,
GEN=4_MEMBER=442_PSO,GEN=3_MEMBER=320_PSO,,
GEN=4_MEMBER=443_PSO,GEN=2_MEMBER=298_PSO,,
GEN=4_MEMBER=444_PSO,GEN=3_MEMBER=306_PSO,,
GEN=4_MEMBER=445_PSO,GEN=0_MEMBER=15,,
GEN=4_MEMBER=446_PSO,GEN=2_MEMBER=279_PSO,,
GEN=4_MEMBER=447_PSO,GEN=0_MEMBER=84,,
GEN=4_MEMBER=448_PSO,GEN=2_MEMBER=207_PSO,,
GEN=4_MEMBER=449_PSO,GEN=3_MEMBER=317_PSO,,
GEN=4_MEMBER=450_PSO,GEN=3_MEMBER=302_PSO,,
GEN=4_MEMBER=451_PSO,GEN=3_MEMBER=300_PSO,,
GEN=4_MEMBER=452_PSO,GEN=2_MEMBER=200_PSO,,
GEN=4_MEMBER=453_PSO,GEN=3_MEMBER=358_PSO,,
GEN=4_MEMBER=454_PSO,GEN=3_MEMBER=366_PSO,,
GEN=4_MEMBER=455_PSO,GEN=3_MEMBER=398_PSO,,
GEN=4_MEMBER=456_PSO,GEN=3_MEMBER=332_PSO,,
GEN=4_MEMBER=457_PSO,GEN=1_MEMBER=126_PSO,,
GEN=4_MEMBER=458_PSO,GEN=2_MEMBER=280_PSO,,
GEN=4_MEMBER=459_PSO,GEN=0_MEMBER=19,,
GEN=4_MEMBER=460_PSO,GEN=0_MEMBER=50,,
GEN=4_MEMBER=461_PSO,GEN=3_MEMBER=391_PSO,,
GEN=4_MEMBER=462_PSO,GEN=0_MEMBER=25,,
GEN=4_MEMBER=463_PSO,GEN=1_MEMBER=109_PSO,,
GEN=4_MEMBER=464_PSO,GEN=1_MEMBER=162_PSO,,
GEN=4_MEMBER=465_PSO,GEN=2_MEMBER=263_PSO,,
GEN=4_MEMBER=466_PSO,GEN=3_MEMBER=337_PSO,,
GEN=4_MEMBER=467_PSO,GEN=2_MEMBER=281_PSO,,
GEN=4_MEMBER=468_PSO,GEN=1_MEMBER=185_PSO,,
GEN=4_MEMBER=469_PSO,GEN=0_MEMBER=59,,
GEN=4_MEMBER=470_PSO,GEN=3_MEMBER=365_PSO,,
GEN=4_MEMBER=471_PSO,GEN=2_MEMBER=292_PSO,,
GEN=4_MEMBER=472_PSO,GEN=2_MEMBER=252_PSO,,
GEN=4_MEMBER=473_PSO,GEN=2_MEMBER=285_PSO,,
GEN=4_MEMBER=474_PSO,GEN=3_MEMBER=368_PSO,,
GEN=4_MEMBER=475_PSO,GEN=2_MEMBER=271_PSO,,
GEN=4_MEMBER=476_PSO,GEN=0_MEMBER=77,,
GEN=4_MEMBER=477_PSO,GEN=2_MEMBER=245_PSO,,
GEN=4_MEMBER=478_PSO,GEN=2_MEMBER=284_PSO,,
GEN=4_MEMBER=479_PSO,GEN=2_MEMBER=215_PSO,,
GEN=4_MEMBER=480_PSO,GEN=2_MEMBER=224_PSO,,
GEN=4_MEMBER=481_PSO,GEN=0_MEMBER=18,,
GEN=4_MEMBER=482_PSO,GEN=3_MEMBER=377_PSO,,
GEN=4_MEMBER=483_PSO,GEN=2_MEMBER=267_PSO,,
GEN=4_MEMBER=484_PSO,GEN=3_MEMBER=353_PSO,,
